!Women Art Revolution (2010) |   3 stars, 1hr 22m
#1 Cheerleader Camp (2010) |   3 stars, 1hr 35m
$5 a Day (2008) |   3.4 stars, 1hr 37m
Chalet Girl (2011) |   3.8 stars, 1hr 36m
Champion (1949) |   3.3 stars, 1hr 38m
Champions (1984) |   3.4 stars, 1hr 54m
Chance of a Lifetime (1991) |   3.6 stars, 1hr 33m
Chance Pe Dance (2009) |   3.4 stars, 1hr 56m
Chandni (1989) |   3.4 stars, 2hr 50m
Change Nothing (2009) |   , 1hr 39m
Change of Plans (2009) |   3.3 stars, 1hr 40m
Changing Lanes (2002) |   3.3 stars, 1hr 38m
Chaplin: The Movie (1992) |   3.8 stars, 2hr 24m
Chappelle's Show (2003-2005) |   3.8 stars, 3 Seasons
Charade (1963) |   4 stars, 1hr 53m
Chariots of Fire (1981) |   3.7 stars, 2hr 4m
Charles Dickens (1995) |   3.6 stars, 46m
Charley's Big-Hearted Aunt (1940) |   2.5 stars, 1hr 16m
Charley Varrick (1973) |   3.5 stars, 1hr 50m
Charlie's Angels: Full Throttle (2003) |   3.2 stars, 1hr 45m
Charlie Bartlett (2007) |   3.6 stars, 1hr 36m
Charlie Chan: Meeting at Midnight (1944) |   3.6 stars, 1hr 5m
Charlie Chan: The Chinese Cat (1944) |   3.6 stars, 1hr 5m
Charlie Chan: The Jade Mask (1945) |   3.7 stars, 1hr 6m
Charlie Chan: The Secret Service (1944) |   3.6 stars, 1hr 4m
Charlie Chaplin Collection (1914) |   3.7 stars, 15 Episodes
Charlie Jade (2005) |   3.2 stars, 1 Season
Charlotte Gray (2001) |   3.6 stars, 2hr 1m
Charlotte Rampling: The Look (2011) |   2.7 stars, 1hr 38m
Charmed (1998-2005) |   3.7 stars, 8 Seasons
Chased by Dinosaurs: Three Walking with Dinosaurs Adventures (2003) |   3.8 stars, 2 Episodes
Chasing Amy (1997) |   3.6 stars, 1hr 53m
Chasing Ghosts: Beyond the Arcade (2007) |   3.7 stars, 1hr 27m
Chasing Holden (2001) |   2.6 stars, 1hr 41m
Chasing Sleep (2000) |   3 stars, 1hr 44m
Chasing the Kidneystone (1996) |   2.5 stars, 1hr 31m
Chastity (1969) |   2.6 stars, 1hr 23m
Chattahoochee (1989) |   3.3 stars, 1hr 37m
Chautauqua: An American Narrative (2010) |   2.8 stars, 53m
Chawz (2009) |   3 stars, 2hr 2m
Che (2008) |   3.9 stars, 2 Episodes
Cheaper to Keep Her (2011) |   2.7 stars, 1hr 49m
Cheatin' Hearts (1993) |   3.1 stars, 1hr 28m
Checkered Flag or Crash (1977) |   2.1 stars, 1hr 38m
Checkmate (2010) |   , 1hr 29m
Checkpoint (1956) |   1.9 stars, 1hr 24m
Cheech & Chong: Get Out of My Room (1985) |   3.4 stars, 52m
Cheech Marin and Friends: Live from South Beach (2005) |   2.9 stars, 1hr 29m
Cheerleader Massacre (2003) |   2.6 stars, 1hr 15m
Cheerleader Ninjas (2003) |   2.1 stars, 1hr 36m
Cheers (1982-1992) |   3.8 stars, 11 Seasons
Chelsea on the Rocks (2008) |   3.2 stars, 1hr 29m
Chemerical: Redefining Clean for a New Generation (2009) |   3.7 stars, 1hr 15m
Cher: The Farewell Tour (2003) |   3.5 stars, 1hr 31m
Cherry (2010) |   3.7 stars, 1hr 39m
Cherry Blossoms (2008) |   3.7 stars, 2hr 2m
Cherry Bomb (2011) |   2.6 stars, 1hr 22m
Chevolution (2008) |   3.7 stars, 1hr 29m
Chi Rho: The Secret (2007) |   , 26 Episodes
Chic: Live at Montreux 2004 (2004) |   3.6 stars, 55m
Chicago Massacre: Richard Speck (2007) |   2.9 stars, 1hr 32m
Chick Magnet (2011) |   2.7 stars, 1hr 28m
Childhood's End (1997) |   2.4 stars, 1hr 55m
Children's Favorites: Christmas Treasure (2004) |   3.2 stars, 1hr 29m
Children's Favorites: Halloween Treats (2004) |   3.1 stars, 1hr 37m
Children of Heaven (1997) |   3.7 stars, 1hr 27m
Children of the Corn: Genesis (2011) |   2.9 stars, 1hr 20m
Children of the Corn 3: Urban Harvest (1995) |   2.9 stars, 1hr 30m
Children of the Corn 5: Fields of Terror (1998) |   3.1 stars, 1hr 23m
Children of the Corn 666: Isaac's Return (1999) |   3.1 stars, 1hr 22m
Children of the Corn 7: Revelation (2001) |   3.1 stars, 1hr 22m
Children of the Corn IV: The Gathering (1996) |   3 stars, 1hr 25m
Children of the Revolution (1996) |   3 stars, 1hr 40m
Children Underground (2001) |   3.6 stars, 1hr 48m
Chillar Party (2011) |   3.8 stars, 2hr 15m
Chillerama (2011) |   3 stars, 1hr 59m
Chilly Scenes of Winter (1979) |   2.5 stars, 1hr 35m
China Gate (1957) |   3 stars, 1hr 35m
China Strike Force (2000) |   3.2 stars, 1hr 31m
Chinatown (1974) |   3.9 stars, 2hr 10m
Chobits (2002) |   4 stars, 27 Episodes
Chocolate Sundaes Presents: Live on Sunset Strip! (2008) |   3 stars, 1hr 15m
Chocolate Sundaes Presents: Live on Sunset Strip!: Vol. 2 (2010) |   , 1hr 4m
Choking Man (2006) |   2.8 stars, 1hr 22m
Choose (2011) |   3.3 stars, 1hr 26m
Chop (2011) |   3.1 stars, 1hr 22m
Chop Kick Panda (2011) |   3 stars, 41m
Chop Shop (2007) |   3 stars, 1hr 24m
Chopin: Desire for Love (2002) |   3.2 stars, 1hr 56m
Chops (2007) |   4.1 stars, 1hr 26m
Chosin (2010) |   4.3 stars, 1hr 25m
Chris & Don: A Love Story (2007) |   3.5 stars, 1hr 30m
Christmas Classics: Vol. 1 (1952) |   3.5 stars, 1hr 9m
Christmas Cupid (2010) |   3.7 stars, 1hr 24m
Christmas on Division Street (1991) |   3.9 stars, 1hr 33m
Christmas Time in South Park (2000) |   3.9 stars, 7 Episodes
Christmas with a Capital C (2011) |   3.9 stars, 1hr 21m
Christopher Columbus (1949) |   3 stars, 1hr 39m
Christopher Columbus: Explorer of the New World (1995) |   3.4 stars, 42m
Christopher Titus: The 5th Annual End of the World Tour (2007) |   3.9 stars, 42m
Chrome and Hot Leather (1971) |   2.9 stars, 1hr 31m
Chrome Shelled Regios (2009) |   4.1 stars, 1 Part
Chronicle of Anna Magdalena Bach (1968) |   2.7 stars, 1hr 33m
Chump Change (2000) |   2.4 stars, 1hr 28m
Chunhyang (2000) |   3.2 stars, 1hr 55m
Chup Chup Ke (2006) |   3.4 stars, 2hr 44m
Church: The Movie (2010) |   3.3 stars, 1hr 41m
Church Girl (2011) |   , 2hr 10m
Ciao! Manhattan (1972) |   3.1 stars, 1hr 30m
Cinderella (2006) |   3.1 stars, 1hr 36m
Cinema Paradiso (1988) |   4 stars, 2hr 4m
Cinnamon (2011) |   3.9 stars, 1hr 31m
Circle of Passion (1996) |   2.7 stars, 1hr 34m
Circo (2010) |   3.6 stars, 1hr 14m
Circus (2010) |   3.9 stars, 6 Episodes
Circus Maximus (2010) |   , 1hr 19m
Circus of Horrors (1960) |   2.8 stars, 1hr 28m
Circus Rosaire (2008) |   3.6 stars, 1hr 30m
Cirkus Columbia (2010) |   2.7 stars, 1hr 51m
Citizen's Band (1977) |   3 stars, 1hr 35m
Citizen Gangster (2011) |   3.5 stars, 1hr 44m
Citizen Ruth (1996) |   3.3 stars, 1hr 45m
Citizen Toxie: The Toxic Avenger IV (2002) |   3 stars, 1hr 49m
City After Midnight (1957) |   3.1 stars, 1hr 23m
City Hall (1996) |   3.4 stars, 1hr 51m
City Hunter (2011) |   4.3 stars, 20 Episodes
City of Life and Death (2009) |   3.7 stars, 2hr 15m
Civic Duty (2006) |   3 stars, 1hr 34m
Civil War Combat: America's Bloodiest Battles (2000) |   3.8 stars, 3 Episodes
Civil War Journal: The Commanders (2001) |   3.8 stars, 4 Episodes
Civil War Journal: The Conflict Begins (2001) |   3.8 stars, 4 Episodes
Clannad After Story (2008) |   4.3 stars, 1 Season
Clapham Junction (2007) |   3.5 stars, 1hr 38m
Clash (2009) |   3.3 stars, 1hr 37m
Clash of Empires (2011) |   3.2 stars, 1hr 49m
Clash of the Dinosaurs (2009) |   3.8 stars, 4 Episodes
Class (1983) |   3.2 stars, 1hr 38m
Class of Nuke 'Em High (1986) |   3 stars, 1hr 25m
Classic Albums: Cream: Disraeli Gears (2006) |   3.7 stars, 49m
Classic Albums: Deep Purple: Machine Head (2002) |   3.8 stars, 50m
Classic Albums: Duran Duran: Rio (2008) |   3.5 stars, 51m
Classic Albums: Elton John: Goodbye Yellow Brick Road (2001) |   3.6 stars, 49m
Classic Albums: Elvis Presley (2001) |   3.7 stars, 49m
Classic Albums: Fleetwood Mac: Rumours (1997) |   3.8 stars, 59m
Classic Albums: Iron Maiden: Number of the Beast (2001) |   3.8 stars, 49m
Classic Albums: John Lennon: Plastic Ono Band (2008) |   3.6 stars, 53m
Classic Albums: Lou Reed: Transformer (2001) |   3.6 stars, 49m
Classic Albums: Meat Loaf: Bat Out of Hell (1999) |   3.6 stars, 50m
Classic Albums: Metallica: The Black Album (2001) |   3.8 stars, 49m
Classic Albums: Phil Collins: Face Value (1999) |   3.5 stars, 50m
Classic Albums: Queen: Making of a Night at the Opera (1975) |   3.7 stars, 49m
Classic Albums: Rush: 2112 & Moving Pictures (2010) |   4.1 stars, 58m
Classic Albums: Steely Dan: Aja (1999) |   3.6 stars, 50m
Classic Albums: The Band (1997) |   4 stars, 59m
Classic Albums: The Doors (2008) |   3.8 stars, 50m
Classic Albums: The Grateful Dead: Anthem to Beauty (1997) |   3.7 stars, 59m
Classic Albums: The Who: Who's Next (1999) |   3.6 stars, 50m
Classic Albums: Tom Petty and the Heartbreakers: Damn the Torpedoes (2009) |   3.9 stars, 55m
Classic Albums: U2: The Joshua Tree (1999) |   3.5 stars, 51m
Classic Albums : Black Sabbath: Paranoid (2010) |   4.1 stars, 54m
Classic Albums : Def Leppard: Hysteria (2002) |   3.9 stars, 49m
Classic Albums : Primal Scream: Screamadelica (2011) |   , 58m
Claustrophobia (2008) |   2.1 stars, 1hr 43m
Clay Pigeons (1998) |   3.4 stars, 1hr 44m
Clean House (2005-2008) |   3.6 stars, 4 Seasons
Clear Cut: The Story of Philomath, Oregon (2006) |   3.2 stars, 1hr 12m
Clear Lake, WI (2009) |   2.7 stars, 1hr 24m
Cleopatra (1963) |   3.7 stars, 4hr 3m
Cleopatra's Second Husband (1998) |   2.1 stars, 1hr 31m
Clerks (1994) |   3.7 stars, 1hr 31m
Client 9: The Rise and Fall of Eliot Spitzer (2010) |   3.8 stars, 1hr 57m
Clifford (1994) |   3.2 stars, 1hr 29m
Climate of Change (2010) |   3.2 stars, 1hr 27m
Climate Refugees (2009) |   3.1 stars, 1hr 24m
Clockstoppers (2002) |   3.3 stars, 1hr 33m
Clockwise (1986) |   3.2 stars, 1hr 36m
Close to Jesus: Joseph of Nazareth (1999) |   3.9 stars, 1hr 37m
Close to Jesus: Judas (2001) |   3.7 stars, 1hr 32m
Close to Jesus: Mary Magdalene (2000) |   3.9 stars, 1hr 34m
Close to Jesus: Thomas (2001) |   3.9 stars, 1hr 31m
Closing Escrow (2007) |   2.8 stars, 1hr 33m
Cloud 9 (2008) |   3 stars, 1hr 35m
Cloudburst (1951) |   3 stars, 1hr 22m
Clubbed (2008) |   3.5 stars, 1hr 34m
Clue (1985) |   3.7 stars, 1hr 36m
Clueless (1995) |   3.6 stars, 1hr 37m
CNBC Originals: As Seen on TV (2009) |   3.4 stars, 43m
CNBC Originals: Big Brother, Big Business (2006) |   3.7 stars, 1hr 29m
CNBC Originals: Big Mac: Inside McDonald's (2007) |   3.5 stars, 45m
CNBC Originals: Budweiser (2008) |   3.5 stars, 43m
CNBC Originals: Cigarette Wars (2011) |   3.4 stars, 43m
CNBC Originals: CNBC Investigates: The Big Business of Illegal Gambling (2009) |   3.5 stars, 43m
CNBC Originals: Coca-Cola: The Real Story Behind the Real Thing (2009) |   3.6 stars, 43m
CNBC Originals: Crime Inc.: The Business of Counterfeit Goods (2010) |   3.6 stars, 43m
CNBC Originals: Cruise Inc.: Big Money on the High Seas (2009) |   3.5 stars, 45m
CNBC Originals: Dirty Money: The Business of High-End Prostitution (2008) |   3.4 stars, 43m
CNBC Originals: Divorce Wars (2011) |   3.4 stars, 43m
CNBC Originals: Game On! The Unauthorized History of Video Games (2006) |   3.6 stars, 45m
CNBC Originals: Goldman Sachs: Power and Peril (2010) |   3.7 stars, 43m
CNBC Originals: House of Cards (2009) |   3.8 stars, 1hr 30m
CNBC Originals: Inside American Airlines: A Week in the Life (2006) |   3.8 stars, 1hr 30m
CNBC Originals: Inside the Mind of Google (2009) |   3.8 stars, 43m
CNBC Originals: Madoff Behind Bars (2010) |   3.4 stars, 43m
CNBC Originals: Marijuana Inc.: Inside America's Pot Industry (2009) |   3.8 stars, 44m
CNBC Originals: Marijuana USA (2010) |   3.9 stars, 43m
CNBC Originals: Mob Money: An American Greed Special Presentation (2010) |   3.7 stars, 43m
CNBC Originals: One Nation, Overweight (2010) |   3.6 stars, 43m
CNBC Originals: Planet of the Apps: A Handheld Revolution (2010) |   3.5 stars, 43m
CNBC Originals: Porn: The Business of Pleasure (2009) |   3 stars, 43m
CNBC Originals: Price of Admission: America's College Debt Crisis (2010) |   3.7 stars, 43m
CNBC Originals: Remington Under Fire: A CNBC Investigation (2010) |   3.5 stars, 43m
CNBC Originals: Scam of the Century: Bernie Madoff's Crime & Punishment (2008) |   3.5 stars, 43m
CNBC Originals: Swoosh! Inside Nike (2008) |   3.7 stars, 45m
CNBC Originals: Target: Inside the Bullseye (2011) |   3.6 stars, 44m
CNBC Originals: The eBay Effect: Inside a Worldwide Obsession (2005) |   3.5 stars, 1hr 7m
CNBC Originals: The Facebook Obsession (2011) |   3.5 stars, 43m
CNBC Originals: The Money Chase: Inside Harvard Business School (2008) |   3.6 stars, 45m
CNBC Originals: The New Age of Walmart (2009) |   3.5 stars, 1hr 4m
CNBC Originals: The Oprah Effect (2009) |   3.1 stars, 42m
CNBC Originals: Tom Brokaw Reports: Boomer$ (2010) |   2.5 stars, 43m
CNBC Originals: Ultimate Fighting: Fistful of Dollars (2009) |   3.7 stars, 43m
CNBC Titans: Donald Trump (2010) |   3.8 stars, 43m
CNBC Titans: George Foreman (2011) |   3.8 stars, 43m
CNBC Titans: Hugh Hefner (2010) |   3 stars, 43m
CNBC Titans: Merv Griffin (2010) |   3.2 stars, 43m
CNBC Titans: Ted Turner (2010) |   3.4 stars, 43m
Coach (1989-1996) |   3.5 stars, 9 Seasons
Coal (2011) |   4 stars, 1 Season
Coastlines (2006) |   3.2 stars, 1hr 54m
Coca Lives (2007) |   , 1hr 23m
Cocaine: One Man's Seduction (1983) |   3.3 stars, 1hr 36m
Cocaine Cowboys (2006) |   3.9 stars, 1hr 58m
Cocaine Cowboys 2 (2008) |   3.7 stars, 1hr 39m
Cocalero (2007) |   3.4 stars, 1hr 36m
Cochochi (2007) |   , 1hr 27m
Code 46 (2003) |   2.9 stars, 1hr 33m
Code Lyoko (2004-2007) |   4.3 stars, 4 Seasons
Code Monkeys (2007) |   3.5 stars, 2 Seasons
Code of the Prairie (1944) |   3.1 stars, 55m
Code of the Silver Sage (1950) |   3.3 stars, 1hr
Code Red: The Rubicon Conspiracy (2001) |   3.2 stars, 1hr 32m
Code Unknown (2000) |   3 stars, 1hr 52m
Coffin Rock (2009) |   3.1 stars, 1hr 32m
Cold Blood (2010-2011) |   4 stars, 2 Seasons
Cold Case Files: The Most Infamous Cases (1999) |   3.9 stars, 1 Season
Cold Comfort Farm (1995) |   3.5 stars, 1hr 44m
Cold Diggers (2010) |   , 1 Season
Cold Eyes of Fear (1971) |   2.3 stars, 1hr 28m
Cold Feet (1989) |   2.6 stars, 1hr 31m
Cold Fish (2010) |   3.2 stars, 2hr 26m
Cold Heaven (1991) |   2.8 stars, 1hr 42m
Cold Sweat (2010) |   2.7 stars, 1hr 20m
Cold Sweat (1994) |   3 stars, 1hr 32m
Cold Weather (2010) |   2.6 stars, 1hr 36m
Coldblooded (1995) |   3.3 stars, 1hr 33m
Colin (2008) |   2.4 stars, 1hr 37m
Colin & Brad: Two Man Group (2011) |   4 stars, 1hr 7m
Colin Quinn: Long Story Short (2011) |   3.9 stars, 1hr 22m
Collapse (2009) |   3.9 stars, 1hr 20m
College Hill (2006-2009) |   3.8 stars, 4 Seasons
Collision (2009) |   3.8 stars, 5 Episodes
Collusion (2003) |   , 1hr 30m
Colma: The Musical (2006) |   2.6 stars, 1hr 40m
Colony (2009) |   3.6 stars, 1hr 24m
Color Crew (2010) |   3.3 stars, 4 Episodes
Color Inspirations (2012) |   3.2 stars, 5 Episodes
Color Me Kubrick (2005) |   2.9 stars, 1hr 26m
Colossal Squid / Squid Invasion (2008) |   3.7 stars, 2 Episodes
Colosseum: A Gladiator's Story (2003) |   3.7 stars, 57m
Columbine: Understanding Why (2007) |   3.3 stars, 44m
Columbo (1968-1976) |   3.8 stars, 7 Seasons
Columbus Circle (2011) |   3.3 stars, 1hr 25m
Comanche Moon: Road to Lonesome Dove (2008) |   4 stars, 3 Episodes
Combat Zone (2007) |   3.9 stars, 13 Episodes
Combustion (2004) |   3.4 stars, 1hr 30m
Come Blow Your Horn (1963) |   3.3 stars, 1hr 51m
Come Fly With Me (2010) |   3.6 stars, 1 Season
Come Next Spring (1956) |   3.7 stars, 1hr 31m
Come Undone (2010) |   2.8 stars, 1hr 59m
Comedians of Comedy: Live at the Troubadour (2007) |   3.8 stars, 2hr 14m
Comedy Express: B.T.: I'm Not Black Enough (2007) |   2.9 stars, 48m
Comic Book: The Movie (2004) |   2.7 stars, 1hr 46m
Comic Book Confidential (1988) |   3.4 stars, 1hr 25m
Comic Book Men (2012) |   3.9 stars, 1 Season
Comics without Borders (2008) |   3.6 stars, 1 Season
Coming Home (1998) |   3.7 stars, 2 Episodes
Coming to America (1988) |   3.6 stars, 1hr 56m
Commander Hamilton (1998) |   2.9 stars, 2hr 6m
Commander in Chief (2005) |   4 stars, 1 Season
Commandments (1997) |   3.1 stars, 1hr 27m
Committed (1991) |   2.8 stars, 1hr 32m
Commune (2005) |   3.2 stars, 1hr 18m
Company (2007) |   4 stars, 2hr 11m
Company of Killers (1971) |   , 1hr 27m
Compassion in Emptiness (2011) |   3.9 stars, 1hr 44m
Compelled (1960) |   2.6 stars, 56m
Complicity (2000) |   2.7 stars, 1hr 35m
Con Express (2002) |   3.2 stars, 1hr 30m
Con Games (2001) |   2.9 stars, 1hr 31m
Conan O'Brien Can't Stop (2011) |   3.7 stars, 1hr 28m
Conan the Barbarian (2011) |   3.5 stars, 1hr 52m
Conan the Destroyer (1984) |   3.4 stars, 1hr 41m
Conception (2011) |   2.9 stars, 1hr 27m
Concorde Affair (1978) |   2.3 stars, 1hr 35m
Condo Painting (2000) |   , 1hr 25m
Condor (1986) |   2.6 stars, 1hr 13m
Confession (2005) |   2.9 stars, 1hr 35m
Confessions: Animal Hoarding (2010-2011) |   3.5 stars, 3 Seasons
Confessions of a Call Girl (2007) |   2.8 stars, 1hr 43m
Confessions of a Pit Fighter (2005) |   3.2 stars, 1hr 39m
Confessions of a Porn Addict (2008) |   2.3 stars, 1hr 19m
Confessions of a Superhero (2007) |   3.4 stars, 1hr 33m
Confessions of Sorority Girls (1993) |   2.5 stars, 1hr 22m
Confidence Girl (1952) |   2.9 stars, 1hr 20m
Confined (2010) |   3.3 stars, 1hr 28m
Conflict of Interest (1993) |   2.7 stars, 1hr 27m
Conquistadors (2000) |   3.7 stars, 4 Episodes
Conrad Hilton: Innkeeper to the World (1996) |   3.6 stars, 44m
Consinsual (2010) |   3.3 stars,
Conspiracy Of Silence (2004) |   3.3 stars, 1hr 27m
Constantine's Sword (2007) |   3.6 stars, 1hr 35m
Construction Intervention (2011) |   3.6 stars, 1 Season
Consuming Passions (1988) |   2.6 stars, 1hr 38m
Contadora Is for Lovers (2006) |   1.8 stars, 1hr 10m
Contaminated Man (2000) |   3.2 stars, 1hr 37m
Contamination .7 (1993) |   2.3 stars, 1hr 34m
Continental Divide (1981) |   3.2 stars, 1hr 42m
Control (2004) |   3.4 stars, 1hr 38m
Conventioneers (2005) |   2.5 stars, 1hr 39m
Convict Cowboy (1995) |   3.6 stars, 1hr 38m
Convicted (2004) |   3.4 stars, 1hr 48m
Conviction (2006) |   3.7 stars, 12 Episodes
Convicts (1990) |   3.1 stars, 1hr 33m
Convoy (1978) |   3.4 stars, 1hr 43m
Cook County (2009) |   3.3 stars, 1hr 33m
Cooking with Stella (2009) |   3.2 stars, 1hr 43m
Cool and the Crazy (1994) |   2.6 stars, 1hr 23m
Cool Blue (1990) |   2.3 stars, 1hr 30m
Cool It (2010) |   3.7 stars, 1hr 28m
Cop and a Half (1993) |   3 stars, 1hr 32m
Cop Hater (1958) |   3.1 stars, 1hr 15m
Cop Land (1997) |   3.5 stars, 1hr 44m
Cop Unbowed (2004) |   2.5 stars, 1hr 25m
Copacabana (1947) |   3.3 stars, 1hr 31m
Copper Sky (1957) |   3.1 stars, 1hr 17m
Copying Beethoven (2006) |   3.2 stars, 1hr 44m
Copyright Criminals (2009) |   3.7 stars, 53m
Coriolanus (2011) |   2.7 stars, 2hr 3m
Corked (2009) |   2.6 stars, 1hr 30m
Cornered! (2008) |   2.5 stars, 1hr 26m
Corpse Princess (2008-2009) |   3.9 stars, 2 Parts
Corpus Christi Bandits (1945) |   3.1 stars, 55m
Corrupted Minds (2006) |   2.8 stars, 1hr 35m
Cosi (1996) |   3.3 stars, 1hr 39m
Cosmic Collisions (2009) |   4 stars, 3 Episodes
Cosmopolitan (2003) |   , 53m
Cosmos (1980) |   4.4 stars, 13 Episodes
Cost of a Soul (2010) |   2.9 stars, 1hr 48m
Cottage to Let (1941) |   3.3 stars, 1hr 30m
Cougar Club (2007) |   2.8 stars, 1hr 37m
Cougar Hunting (2011) |   3 stars, 1hr 31m
Count Yorga, Vampire (1970) |   2.8 stars, 1hr 32m
Countdown: Armageddon (2009) |   3 stars, 1hr 33m
Countdown to Zero (2009) |   3.8 stars, 1hr 29m
Counter Punch (1999) |   1.9 stars, 1hr 30m
Counterplot (1959) |   , 1hr 17m
Counterstrike (2003) |   3.3 stars, 1hr 30m
Countess Dracula (1971) |   2.9 stars, 1hr 33m
Country Life (1994) |   3.2 stars, 1hr 47m
Country Music Holiday (1958) |   2.8 stars, 1hr 20m
Countryman (1982) |   3.4 stars, 1hr 42m
Courage (2009) |   3.5 stars, 1hr 30m
Courage Mountain (1990) |   3.7 stars, 1hr 38m
Covered Wagon Raid (1950) |   3.4 stars, 1hr
Cow Belles (2006) |   3.6 stars, 1hr 25m
Cowboy and the Senorita (1944) |   3.2 stars, 1hr 17m
Cowboy del Amor (2005) |   3.3 stars, 1hr 26m
Cowboy Junction (2006) |   2.5 stars, 1hr 19m
Cowboys & Indians (2011) |   2.3 stars, 1hr 25m
Cowboys and Angels (2000) |   3 stars, 1hr 40m
Cowboys from Texas (1939) |   2.9 stars, 53m
Coyote (2008) |   3.5 stars, 1hr 38m
Coyote County Loser (2009) |   3.6 stars, 1hr 31m
CQ (2002) |   3 stars, 1hr 28m
Crack House (1989) |   3.2 stars, 1hr 31m
Crack in the World (1965) |   3.1 stars, 1hr 35m
Cracker (1993-2006) |   3.8 stars, 5 Seasons
Cracker Jack (1994) |   3.3 stars, 1hr 36m
Crackers (1984) |   2.7 stars, 1hr 31m
Cracking the Da Vinci Code (2004) |   3.1 stars, 1hr 28m
Cracking the Maya Code (2008) |   3.8 stars, 53m
Cracking Up (1977) |   2.1 stars, 1hr 24m
Craig Ferguson: A Wee Bit o' Revolution (2009) |   3.8 stars, 1hr 19m
Craig Ferguson: Does This Need to Be Said? (2011) |   3.8 stars, 1hr 5m
Crash (2008-2009) |   3.8 stars, 2 Seasons
Crash (2005) |   3.8 stars, 1hr 52m
Crash and Burn (2007) |   3.4 stars, 1hr 25m
Crash Course (1988) |   3.1 stars, 1hr 36m
Crash Drive (1959) |   , 1hr 5m
Crash of Flight 447: Nova (2010) |   3.8 stars, 52m
Crawlspace (1986) |   2.8 stars, 1hr 20m
Crazy for Christmas (2005) |   3.9 stars, 1hr 29m
Crazy Little Thing (2002) |   2.9 stars, 1hr 27m
Crazy n' the City (2005) |   3.1 stars, 1hr 44m
Crazy on the Outside (2010) |   3.4 stars, 1hr 36m
Crazylove (2005) |   3.3 stars, 1hr 38m
Cream: Classic Artists (2006) |   3.4 stars, 1hr 53m
Cream: Royal Albert Hall (2005) |   3.3 stars, 2hr 5m
Creating Destiny (2009) |   4 stars, 31 Episodes
Creation (2009) |   3.4 stars, 1hr 48m
Creature (2011) |   3 stars, 1hr 33m
Creature (1984) |   2.6 stars, 1hr 34m
Creature Comforts America (2007) |   3.7 stars, 1 Season
Creature from the Black Lagoon: Special Edition (1954) |   3.6 stars, 1hr 19m
Creature of Darkness (2009) |   2.7 stars, 1hr 20m
Creepshow (1982) |   3.4 stars, 2hr
Creepshow 2 (1987) |   3.3 stars, 1hr 29m
Crime Against Joe (1956) |   3 stars, 1hr 9m
Crime and Passion (1976) |   2 stars, 1hr 32m
Crime of Passion (1957) |   3.3 stars, 1hr 26m
Crimes of Fashion (2004) |   3.5 stars, 1hr 29m
Crimetime (1996) |   2.5 stars, 1hr 58m
Criminal Investigator (1942) |   3.2 stars, 1hr
Criminal Justice (2008) |   3.7 stars, 1 Series
Criminal Minds: Suspect Behavior (2011) |   3.9 stars, 1 Season
Criminal Ways (2003) |   2.5 stars, 1hr 31m
Crips: Strapped 'n' Strong (2009) |   2.9 stars, 1hr 27m
Crips and Bloods: Made in America (2008) |   3.6 stars, 1hr 33m
Crisis (1997) |   2.7 stars, 1hr 24m
Croc (2007) |   3.2 stars, 1hr 30m
Crop Circles: Quest for Truth (2002) |   3.6 stars, 1hr 55m
Cropsey (2009) |   3.4 stars, 1hr 24m
Cross (2011) |   3.2 stars, 1hr 44m
